Suma de Año,Suma de Dia,DiaSemana,Suma de EsLaborable,Año,Trimestre,Mes,Día,Mes,Suma de MesNum,Suma de SemanaISO
2024,5,Friday,1,2024,Qtr 1,enero,5,January,1,1
2024,12,Friday,1,2024,Qtr 1,enero,12,January,1,2
2024,19,Friday,1,2024,Qtr 1,enero,19,January,1,3
2024,26,Friday,1,2024,Qtr 1,enero,26,January,1,4
2024,2,Friday,1,2024,Qtr 1,febrero,2,February,2,5
2024,9,Friday,1,2024,Qtr 1,febrero,9,February,2,6
2024,16,Friday,1,2024,Qtr 1,febrero,16,February,2,7
2024,23,Friday,1,2024,Qtr 1,febrero,23,February,2,8
2024,1,Friday,1,2024,Qtr 1,marzo,1,March,3,9
2024,8,Friday,1,2024,Qtr 1,marzo,8,March,3,10
2024,15,Friday,1,2024,Qtr 1,marzo,15,March,3,11
2024,22,Friday,1,2024,Qtr 1,marzo,22,March,3,12
2024,29,Friday,1,2024,Qtr 1,marzo,29,March,3,13
2024,5,Friday,1,2024,Qtr 2,abril,5,April,4,14
2024,12,Friday,1,2024,Qtr 2,abril,12,April,4,15
2024,19,Friday,1,2024,Qtr 2,abril,19,April,4,16
2024,26,Friday,1,2024,Qtr 2,abril,26,April,4,17
2024,3,Friday,1,2024,Qtr 2,mayo,3,May,5,18
2024,10,Friday,1,2024,Qtr 2,mayo,10,May,5,19
2024,17,Friday,1,2024,Qtr 2,mayo,17,May,5,20
2024,24,Friday,1,2024,Qtr 2,mayo,24,May,5,21
2024,31,Friday,1,2024,Qtr 2,mayo,31,May,5,22
2024,7,Friday,1,2024,Qtr 2,junio,7,June,6,23
2024,14,Friday,1,2024,Qtr 2,junio,14,June,6,24
2024,21,Friday,1,2024,Qtr 2,junio,21,June,6,25
2024,28,Friday,1,2024,Qtr 2,junio,28,June,6,26
2024,5,Friday,1,2024,Qtr 3,julio,5,July,7,27
2024,12,Friday,1,2024,Qtr 3,julio,12,July,7,28
2024,19,Friday,1,2024,Qtr 3,julio,19,July,7,29
2024,26,Friday,1,2024,Qtr 3,julio,26,July,7,30
2024,2,Friday,1,2024,Qtr 3,agosto,2,August,8,31
2024,9,Friday,1,2024,Qtr 3,agosto,9,August,8,32
2024,16,Friday,1,2024,Qtr 3,agosto,16,August,8,33
2024,23,Friday,1,2024,Qtr 3,agosto,23,August,8,34
2024,30,Friday,1,2024,Qtr 3,agosto,30,August,8,35
2024,6,Friday,1,2024,Qtr 3,septiembre,6,September,9,36
2024,13,Friday,1,2024,Qtr 3,septiembre,13,September,9,37
2024,20,Friday,1,2024,Qtr 3,septiembre,20,September,9,38
2024,27,Friday,1,2024,Qtr 3,septiembre,27,September,9,39
2024,4,Friday,1,2024,Qtr 4,octubre,4,October,10,40
2024,11,Friday,1,2024,Qtr 4,octubre,11,October,10,41
2024,18,Friday,1,2024,Qtr 4,octubre,18,October,10,42
2024,25,Friday,1,2024,Qtr 4,octubre,25,October,10,43
2024,1,Friday,1,2024,Qtr 4,noviembre,1,November,11,44
2024,8,Friday,1,2024,Qtr 4,noviembre,8,November,11,45
2024,15,Friday,1,2024,Qtr 4,noviembre,15,November,11,46
2024,22,Friday,1,2024,Qtr 4,noviembre,22,November,11,47
2024,29,Friday,1,2024,Qtr 4,noviembre,29,November,11,48
2024,6,Friday,1,2024,Qtr 4,diciembre,6,December,12,49
2024,13,Friday,1,2024,Qtr 4,diciembre,13,December,12,50
2024,20,Friday,1,2024,Qtr 4,diciembre,20,December,12,51
2024,27,Friday,1,2024,Qtr 4,diciembre,27,December,12,52
2024,1,Monday,1,2024,Qtr 1,enero,1,January,1,1
2024,8,Monday,1,2024,Qtr 1,enero,8,January,1,2
2024,15,Monday,1,2024,Qtr 1,enero,15,January,1,3
2024,22,Monday,1,2024,Qtr 1,enero,22,January,1,4
2024,29,Monday,1,2024,Qtr 1,enero,29,January,1,5
2024,5,Monday,1,2024,Qtr 1,febrero,5,February,2,6
2024,12,Monday,1,2024,Qtr 1,febrero,12,February,2,7
2024,19,Monday,1,2024,Qtr 1,febrero,19,February,2,8
2024,26,Monday,1,2024,Qtr 1,febrero,26,February,2,9
2024,4,Monday,1,2024,Qtr 1,marzo,4,March,3,10
2024,11,Monday,1,2024,Qtr 1,marzo,11,March,3,11
2024,18,Monday,1,2024,Qtr 1,marzo,18,March,3,12
2024,25,Monday,1,2024,Qtr 1,marzo,25,March,3,13
2024,1,Monday,1,2024,Qtr 2,abril,1,April,4,14
2024,8,Monday,1,2024,Qtr 2,abril,8,April,4,15
2024,15,Monday,1,2024,Qtr 2,abril,15,April,4,16
2024,22,Monday,1,2024,Qtr 2,abril,22,April,4,17
2024,29,Monday,1,2024,Qtr 2,abril,29,April,4,18
2024,6,Monday,1,2024,Qtr 2,mayo,6,May,5,19
2024,13,Monday,1,2024,Qtr 2,mayo,13,May,5,20
2024,20,Monday,1,2024,Qtr 2,mayo,20,May,5,21
2024,27,Monday,1,2024,Qtr 2,mayo,27,May,5,22
2024,3,Monday,1,2024,Qtr 2,junio,3,June,6,23
2024,10,Monday,1,2024,Qtr 2,junio,10,June,6,24
2024,17,Monday,1,2024,Qtr 2,junio,17,June,6,25
2024,24,Monday,1,2024,Qtr 2,junio,24,June,6,26
2024,1,Monday,1,2024,Qtr 3,julio,1,July,7,27
2024,8,Monday,1,2024,Qtr 3,julio,8,July,7,28
2024,15,Monday,1,2024,Qtr 3,julio,15,July,7,29
2024,22,Monday,1,2024,Qtr 3,julio,22,July,7,30
2024,29,Monday,1,2024,Qtr 3,julio,29,July,7,31
2024,5,Monday,1,2024,Qtr 3,agosto,5,August,8,32
2024,12,Monday,1,2024,Qtr 3,agosto,12,August,8,33
2024,19,Monday,1,2024,Qtr 3,agosto,19,August,8,34
2024,26,Monday,1,2024,Qtr 3,agosto,26,August,8,35
2024,2,Monday,1,2024,Qtr 3,septiembre,2,September,9,36
2024,9,Monday,1,2024,Qtr 3,septiembre,9,September,9,37
2024,16,Monday,1,2024,Qtr 3,septiembre,16,September,9,38
2024,23,Monday,1,2024,Qtr 3,septiembre,23,September,9,39
2024,30,Monday,1,2024,Qtr 3,septiembre,30,September,9,40
2024,7,Monday,1,2024,Qtr 4,octubre,7,October,10,41
2024,14,Monday,1,2024,Qtr 4,octubre,14,October,10,42
2024,21,Monday,1,2024,Qtr 4,octubre,21,October,10,43
2024,28,Monday,1,2024,Qtr 4,octubre,28,October,10,44
2024,4,Monday,1,2024,Qtr 4,noviembre,4,November,11,45
2024,11,Monday,1,2024,Qtr 4,noviembre,11,November,11,46
2024,18,Monday,1,2024,Qtr 4,noviembre,18,November,11,47
2024,25,Monday,1,2024,Qtr 4,noviembre,25,November,11,48
2024,2,Monday,1,2024,Qtr 4,diciembre,2,December,12,49
2024,9,Monday,1,2024,Qtr 4,diciembre,9,December,12,50
2024,16,Monday,1,2024,Qtr 4,diciembre,16,December,12,51
2024,23,Monday,1,2024,Qtr 4,diciembre,23,December,12,52
2024,30,Monday,1,2024,Qtr 4,diciembre,30,December,12,1
2024,6,Saturday,0,2024,Qtr 1,enero,6,January,1,1
2024,13,Saturday,0,2024,Qtr 1,enero,13,January,1,2
2024,20,Saturday,0,2024,Qtr 1,enero,20,January,1,3
2024,27,Saturday,0,2024,Qtr 1,enero,27,January,1,4
2024,3,Saturday,0,2024,Qtr 1,febrero,3,February,2,5
2024,10,Saturday,0,2024,Qtr 1,febrero,10,February,2,6
2024,17,Saturday,0,2024,Qtr 1,febrero,17,February,2,7
2024,24,Saturday,0,2024,Qtr 1,febrero,24,February,2,8
2024,2,Saturday,0,2024,Qtr 1,marzo,2,March,3,9
2024,9,Saturday,0,2024,Qtr 1,marzo,9,March,3,10
2024,16,Saturday,0,2024,Qtr 1,marzo,16,March,3,11
2024,23,Saturday,0,2024,Qtr 1,marzo,23,March,3,12
2024,30,Saturday,0,2024,Qtr 1,marzo,30,March,3,13
2024,6,Saturday,0,2024,Qtr 2,abril,6,April,4,14
2024,13,Saturday,0,2024,Qtr 2,abril,13,April,4,15
2024,20,Saturday,0,2024,Qtr 2,abril,20,April,4,16
2024,27,Saturday,0,2024,Qtr 2,abril,27,April,4,17
2024,4,Saturday,0,2024,Qtr 2,mayo,4,May,5,18
2024,11,Saturday,0,2024,Qtr 2,mayo,11,May,5,19
2024,18,Saturday,0,2024,Qtr 2,mayo,18,May,5,20
2024,25,Saturday,0,2024,Qtr 2,mayo,25,May,5,21
2024,1,Saturday,0,2024,Qtr 2,junio,1,June,6,22
2024,8,Saturday,0,2024,Qtr 2,junio,8,June,6,23
2024,15,Saturday,0,2024,Qtr 2,junio,15,June,6,24
2024,22,Saturday,0,2024,Qtr 2,junio,22,June,6,25
2024,29,Saturday,0,2024,Qtr 2,junio,29,June,6,26
2024,6,Saturday,0,2024,Qtr 3,julio,6,July,7,27
2024,13,Saturday,0,2024,Qtr 3,julio,13,July,7,28
2024,20,Saturday,0,2024,Qtr 3,julio,20,July,7,29
2024,27,Saturday,0,2024,Qtr 3,julio,27,July,7,30
2024,3,Saturday,0,2024,Qtr 3,agosto,3,August,8,31
2024,10,Saturday,0,2024,Qtr 3,agosto,10,August,8,32
2024,17,Saturday,0,2024,Qtr 3,agosto,17,August,8,33
2024,24,Saturday,0,2024,Qtr 3,agosto,24,August,8,34
2024,31,Saturday,0,2024,Qtr 3,agosto,31,August,8,35
2024,7,Saturday,0,2024,Qtr 3,septiembre,7,September,9,36
2024,14,Saturday,0,2024,Qtr 3,septiembre,14,September,9,37
2024,21,Saturday,0,2024,Qtr 3,septiembre,21,September,9,38
2024,28,Saturday,0,2024,Qtr 3,septiembre,28,September,9,39
2024,5,Saturday,0,2024,Qtr 4,octubre,5,October,10,40
2024,12,Saturday,0,2024,Qtr 4,octubre,12,October,10,41
2024,19,Saturday,0,2024,Qtr 4,octubre,19,October,10,42
2024,26,Saturday,0,2024,Qtr 4,octubre,26,October,10,43
2024,2,Saturday,0,2024,Qtr 4,noviembre,2,November,11,44
2024,9,Saturday,0,2024,Qtr 4,noviembre,9,November,11,45
2024,16,Saturday,0,2024,Qtr 4,noviembre,16,November,11,46
2024,23,Saturday,0,2024,Qtr 4,noviembre,23,November,11,47
2024,30,Saturday,0,2024,Qtr 4,noviembre,30,November,11,48
2024,7,Saturday,0,2024,Qtr 4,diciembre,7,December,12,49
2024,14,Saturday,0,2024,Qtr 4,diciembre,14,December,12,50
2024,21,Saturday,0,2024,Qtr 4,diciembre,21,December,12,51
2024,28,Saturday,0,2024,Qtr 4,diciembre,28,December,12,52
2024,7,Sunday,0,2024,Qtr 1,enero,7,January,1,1
2024,14,Sunday,0,2024,Qtr 1,enero,14,January,1,2
2024,21,Sunday,0,2024,Qtr 1,enero,21,January,1,3
2024,28,Sunday,0,2024,Qtr 1,enero,28,January,1,4
2024,4,Sunday,0,2024,Qtr 1,febrero,4,February,2,5
2024,11,Sunday,0,2024,Qtr 1,febrero,11,February,2,6
2024,18,Sunday,0,2024,Qtr 1,febrero,18,February,2,7
2024,25,Sunday,0,2024,Qtr 1,febrero,25,February,2,8
2024,3,Sunday,0,2024,Qtr 1,marzo,3,March,3,9
2024,10,Sunday,0,2024,Qtr 1,marzo,10,March,3,10
2024,17,Sunday,0,2024,Qtr 1,marzo,17,March,3,11
2024,24,Sunday,0,2024,Qtr 1,marzo,24,March,3,12
2024,31,Sunday,0,2024,Qtr 1,marzo,31,March,3,13
2024,7,Sunday,0,2024,Qtr 2,abril,7,April,4,14
2024,14,Sunday,0,2024,Qtr 2,abril,14,April,4,15
2024,21,Sunday,0,2024,Qtr 2,abril,21,April,4,16
2024,28,Sunday,0,2024,Qtr 2,abril,28,April,4,17
2024,5,Sunday,0,2024,Qtr 2,mayo,5,May,5,18
2024,12,Sunday,0,2024,Qtr 2,mayo,12,May,5,19
2024,19,Sunday,0,2024,Qtr 2,mayo,19,May,5,20
2024,26,Sunday,0,2024,Qtr 2,mayo,26,May,5,21
2024,2,Sunday,0,2024,Qtr 2,junio,2,June,6,22
2024,9,Sunday,0,2024,Qtr 2,junio,9,June,6,23
2024,16,Sunday,0,2024,Qtr 2,junio,16,June,6,24
2024,23,Sunday,0,2024,Qtr 2,junio,23,June,6,25
2024,30,Sunday,0,2024,Qtr 2,junio,30,June,6,26
2024,7,Sunday,0,2024,Qtr 3,julio,7,July,7,27
2024,14,Sunday,0,2024,Qtr 3,julio,14,July,7,28
2024,21,Sunday,0,2024,Qtr 3,julio,21,July,7,29
2024,28,Sunday,0,2024,Qtr 3,julio,28,July,7,30
2024,4,Sunday,0,2024,Qtr 3,agosto,4,August,8,31
2024,11,Sunday,0,2024,Qtr 3,agosto,11,August,8,32
2024,18,Sunday,0,2024,Qtr 3,agosto,18,August,8,33
2024,25,Sunday,0,2024,Qtr 3,agosto,25,August,8,34
2024,1,Sunday,0,2024,Qtr 3,septiembre,1,September,9,35
2024,8,Sunday,0,2024,Qtr 3,septiembre,8,September,9,36
2024,15,Sunday,0,2024,Qtr 3,septiembre,15,September,9,37
2024,22,Sunday,0,2024,Qtr 3,septiembre,22,September,9,38
2024,29,Sunday,0,2024,Qtr 3,septiembre,29,September,9,39
2024,6,Sunday,0,2024,Qtr 4,octubre,6,October,10,40
2024,13,Sunday,0,2024,Qtr 4,octubre,13,October,10,41
2024,20,Sunday,0,2024,Qtr 4,octubre,20,October,10,42
2024,27,Sunday,0,2024,Qtr 4,octubre,27,October,10,43
2024,3,Sunday,0,2024,Qtr 4,noviembre,3,November,11,44
2024,10,Sunday,0,2024,Qtr 4,noviembre,10,November,11,45
2024,17,Sunday,0,2024,Qtr 4,noviembre,17,November,11,46
2024,24,Sunday,0,2024,Qtr 4,noviembre,24,November,11,47
2024,1,Sunday,0,2024,Qtr 4,diciembre,1,December,12,48
2024,8,Sunday,0,2024,Qtr 4,diciembre,8,December,12,49
2024,15,Sunday,0,2024,Qtr 4,diciembre,15,December,12,50
2024,22,Sunday,0,2024,Qtr 4,diciembre,22,December,12,51
2024,29,Sunday,0,2024,Qtr 4,diciembre,29,December,12,52
2024,4,Thursday,1,2024,Qtr 1,enero,4,January,1,1
2024,11,Thursday,1,2024,Qtr 1,enero,11,January,1,2
2024,18,Thursday,1,2024,Qtr 1,enero,18,January,1,3
2024,25,Thursday,1,2024,Qtr 1,enero,25,January,1,4
2024,1,Thursday,1,2024,Qtr 1,febrero,1,February,2,5
2024,8,Thursday,1,2024,Qtr 1,febrero,8,February,2,6
2024,15,Thursday,1,2024,Qtr 1,febrero,15,February,2,7
2024,22,Thursday,1,2024,Qtr 1,febrero,22,February,2,8
2024,29,Thursday,1,2024,Qtr 1,febrero,29,February,2,9
2024,7,Thursday,1,2024,Qtr 1,marzo,7,March,3,10
2024,14,Thursday,1,2024,Qtr 1,marzo,14,March,3,11
2024,21,Thursday,1,2024,Qtr 1,marzo,21,March,3,12
2024,28,Thursday,1,2024,Qtr 1,marzo,28,March,3,13
2024,4,Thursday,1,2024,Qtr 2,abril,4,April,4,14
2024,11,Thursday,1,2024,Qtr 2,abril,11,April,4,15
2024,18,Thursday,1,2024,Qtr 2,abril,18,April,4,16
2024,25,Thursday,1,2024,Qtr 2,abril,25,April,4,17
2024,2,Thursday,1,2024,Qtr 2,mayo,2,May,5,18
2024,9,Thursday,1,2024,Qtr 2,mayo,9,May,5,19
2024,16,Thursday,1,2024,Qtr 2,mayo,16,May,5,20
2024,23,Thursday,1,2024,Qtr 2,mayo,23,May,5,21
2024,30,Thursday,1,2024,Qtr 2,mayo,30,May,5,22
2024,6,Thursday,1,2024,Qtr 2,junio,6,June,6,23
2024,13,Thursday,1,2024,Qtr 2,junio,13,June,6,24
2024,20,Thursday,1,2024,Qtr 2,junio,20,June,6,25
2024,27,Thursday,1,2024,Qtr 2,junio,27,June,6,26
2024,4,Thursday,1,2024,Qtr 3,julio,4,July,7,27
2024,11,Thursday,1,2024,Qtr 3,julio,11,July,7,28
2024,18,Thursday,1,2024,Qtr 3,julio,18,July,7,29
2024,25,Thursday,1,2024,Qtr 3,julio,25,July,7,30
2024,1,Thursday,1,2024,Qtr 3,agosto,1,August,8,31
2024,8,Thursday,1,2024,Qtr 3,agosto,8,August,8,32
2024,15,Thursday,1,2024,Qtr 3,agosto,15,August,8,33
2024,22,Thursday,1,2024,Qtr 3,agosto,22,August,8,34
2024,29,Thursday,1,2024,Qtr 3,agosto,29,August,8,35
2024,5,Thursday,1,2024,Qtr 3,septiembre,5,September,9,36
2024,12,Thursday,1,2024,Qtr 3,septiembre,12,September,9,37
2024,19,Thursday,1,2024,Qtr 3,septiembre,19,September,9,38
2024,26,Thursday,1,2024,Qtr 3,septiembre,26,September,9,39
2024,3,Thursday,1,2024,Qtr 4,octubre,3,October,10,40
2024,10,Thursday,1,2024,Qtr 4,octubre,10,October,10,41
2024,17,Thursday,1,2024,Qtr 4,octubre,17,October,10,42
2024,24,Thursday,1,2024,Qtr 4,octubre,24,October,10,43
2024,31,Thursday,1,2024,Qtr 4,octubre,31,October,10,44
2024,7,Thursday,1,2024,Qtr 4,noviembre,7,November,11,45
2024,14,Thursday,1,2024,Qtr 4,noviembre,14,November,11,46
2024,21,Thursday,1,2024,Qtr 4,noviembre,21,November,11,47
2024,28,Thursday,1,2024,Qtr 4,noviembre,28,November,11,48
2024,5,Thursday,1,2024,Qtr 4,diciembre,5,December,12,49
2024,12,Thursday,1,2024,Qtr 4,diciembre,12,December,12,50
2024,19,Thursday,1,2024,Qtr 4,diciembre,19,December,12,51
2024,26,Thursday,1,2024,Qtr 4,diciembre,26,December,12,52
2024,2,Tuesday,1,2024,Qtr 1,enero,2,January,1,1
2024,9,Tuesday,1,2024,Qtr 1,enero,9,January,1,2
2024,16,Tuesday,1,2024,Qtr 1,enero,16,January,1,3
2024,23,Tuesday,1,2024,Qtr 1,enero,23,January,1,4
2024,30,Tuesday,1,2024,Qtr 1,enero,30,January,1,5
2024,6,Tuesday,1,2024,Qtr 1,febrero,6,February,2,6
2024,13,Tuesday,1,2024,Qtr 1,febrero,13,February,2,7
2024,20,Tuesday,1,2024,Qtr 1,febrero,20,February,2,8
2024,27,Tuesday,1,2024,Qtr 1,febrero,27,February,2,9
2024,5,Tuesday,1,2024,Qtr 1,marzo,5,March,3,10
2024,12,Tuesday,1,2024,Qtr 1,marzo,12,March,3,11
2024,19,Tuesday,1,2024,Qtr 1,marzo,19,March,3,12
2024,26,Tuesday,1,2024,Qtr 1,marzo,26,March,3,13
2024,2,Tuesday,1,2024,Qtr 2,abril,2,April,4,14
2024,9,Tuesday,1,2024,Qtr 2,abril,9,April,4,15
2024,16,Tuesday,1,2024,Qtr 2,abril,16,April,4,16
2024,23,Tuesday,1,2024,Qtr 2,abril,23,April,4,17
2024,30,Tuesday,1,2024,Qtr 2,abril,30,April,4,18
2024,7,Tuesday,1,2024,Qtr 2,mayo,7,May,5,19
2024,14,Tuesday,1,2024,Qtr 2,mayo,14,May,5,20
2024,21,Tuesday,1,2024,Qtr 2,mayo,21,May,5,21
2024,28,Tuesday,1,2024,Qtr 2,mayo,28,May,5,22
2024,4,Tuesday,1,2024,Qtr 2,junio,4,June,6,23
2024,11,Tuesday,1,2024,Qtr 2,junio,11,June,6,24
2024,18,Tuesday,1,2024,Qtr 2,junio,18,June,6,25
2024,25,Tuesday,1,2024,Qtr 2,junio,25,June,6,26
2024,2,Tuesday,1,2024,Qtr 3,julio,2,July,7,27
2024,9,Tuesday,1,2024,Qtr 3,julio,9,July,7,28
2024,16,Tuesday,1,2024,Qtr 3,julio,16,July,7,29
2024,23,Tuesday,1,2024,Qtr 3,julio,23,July,7,30
2024,30,Tuesday,1,2024,Qtr 3,julio,30,July,7,31
2024,6,Tuesday,1,2024,Qtr 3,agosto,6,August,8,32
2024,13,Tuesday,1,2024,Qtr 3,agosto,13,August,8,33
2024,20,Tuesday,1,2024,Qtr 3,agosto,20,August,8,34
2024,27,Tuesday,1,2024,Qtr 3,agosto,27,August,8,35
2024,3,Tuesday,1,2024,Qtr 3,septiembre,3,September,9,36
2024,10,Tuesday,1,2024,Qtr 3,septiembre,10,September,9,37
2024,17,Tuesday,1,2024,Qtr 3,septiembre,17,September,9,38
2024,24,Tuesday,1,2024,Qtr 3,septiembre,24,September,9,39
2024,1,Tuesday,1,2024,Qtr 4,octubre,1,October,10,40
2024,8,Tuesday,1,2024,Qtr 4,octubre,8,October,10,41
2024,15,Tuesday,1,2024,Qtr 4,octubre,15,October,10,42
2024,22,Tuesday,1,2024,Qtr 4,octubre,22,October,10,43
2024,29,Tuesday,1,2024,Qtr 4,octubre,29,October,10,44
2024,5,Tuesday,1,2024,Qtr 4,noviembre,5,November,11,45
2024,12,Tuesday,1,2024,Qtr 4,noviembre,12,November,11,46
2024,19,Tuesday,1,2024,Qtr 4,noviembre,19,November,11,47
2024,26,Tuesday,1,2024,Qtr 4,noviembre,26,November,11,48
2024,3,Tuesday,1,2024,Qtr 4,diciembre,3,December,12,49
2024,10,Tuesday,1,2024,Qtr 4,diciembre,10,December,12,50
2024,17,Tuesday,1,2024,Qtr 4,diciembre,17,December,12,51
2024,24,Tuesday,1,2024,Qtr 4,diciembre,24,December,12,52
2024,31,Tuesday,1,2024,Qtr 4,diciembre,31,December,12,1
2024,3,Wednesday,1,2024,Qtr 1,enero,3,January,1,1
2024,10,Wednesday,1,2024,Qtr 1,enero,10,January,1,2
2024,17,Wednesday,1,2024,Qtr 1,enero,17,January,1,3
2024,24,Wednesday,1,2024,Qtr 1,enero,24,January,1,4
2024,31,Wednesday,1,2024,Qtr 1,enero,31,January,1,5
2024,7,Wednesday,1,2024,Qtr 1,febrero,7,February,2,6
2024,14,Wednesday,1,2024,Qtr 1,febrero,14,February,2,7
2024,21,Wednesday,1,2024,Qtr 1,febrero,21,February,2,8
2024,28,Wednesday,1,2024,Qtr 1,febrero,28,February,2,9
2024,6,Wednesday,1,2024,Qtr 1,marzo,6,March,3,10
2024,13,Wednesday,1,2024,Qtr 1,marzo,13,March,3,11
2024,20,Wednesday,1,2024,Qtr 1,marzo,20,March,3,12
2024,27,Wednesday,1,2024,Qtr 1,marzo,27,March,3,13
2024,3,Wednesday,1,2024,Qtr 2,abril,3,April,4,14
2024,10,Wednesday,1,2024,Qtr 2,abril,10,April,4,15
2024,17,Wednesday,1,2024,Qtr 2,abril,17,April,4,16
2024,24,Wednesday,1,2024,Qtr 2,abril,24,April,4,17
2024,1,Wednesday,1,2024,Qtr 2,mayo,1,May,5,18
2024,8,Wednesday,1,2024,Qtr 2,mayo,8,May,5,19
2024,15,Wednesday,1,2024,Qtr 2,mayo,15,May,5,20
2024,22,Wednesday,1,2024,Qtr 2,mayo,22,May,5,21
2024,29,Wednesday,1,2024,Qtr 2,mayo,29,May,5,22
2024,5,Wednesday,1,2024,Qtr 2,junio,5,June,6,23
2024,12,Wednesday,1,2024,Qtr 2,junio,12,June,6,24
2024,19,Wednesday,1,2024,Qtr 2,junio,19,June,6,25
2024,26,Wednesday,1,2024,Qtr 2,junio,26,June,6,26
2024,3,Wednesday,1,2024,Qtr 3,julio,3,July,7,27
2024,10,Wednesday,1,2024,Qtr 3,julio,10,July,7,28
2024,17,Wednesday,1,2024,Qtr 3,julio,17,July,7,29
2024,24,Wednesday,1,2024,Qtr 3,julio,24,July,7,30
2024,31,Wednesday,1,2024,Qtr 3,julio,31,July,7,31
2024,7,Wednesday,1,2024,Qtr 3,agosto,7,August,8,32
2024,14,Wednesday,1,2024,Qtr 3,agosto,14,August,8,33
2024,21,Wednesday,1,2024,Qtr 3,agosto,21,August,8,34
2024,28,Wednesday,1,2024,Qtr 3,agosto,28,August,8,35
2024,4,Wednesday,1,2024,Qtr 3,septiembre,4,September,9,36
2024,11,Wednesday,1,2024,Qtr 3,septiembre,11,September,9,37
2024,18,Wednesday,1,2024,Qtr 3,septiembre,18,September,9,38
2024,25,Wednesday,1,2024,Qtr 3,septiembre,25,September,9,39
2024,2,Wednesday,1,2024,Qtr 4,octubre,2,October,10,40
2024,9,Wednesday,1,2024,Qtr 4,octubre,9,October,10,41
2024,16,Wednesday,1,2024,Qtr 4,octubre,16,October,10,42
2024,23,Wednesday,1,2024,Qtr 4,octubre,23,October,10,43
2024,30,Wednesday,1,2024,Qtr 4,octubre,30,October,10,44
2024,6,Wednesday,1,2024,Qtr 4,noviembre,6,November,11,45
2024,13,Wednesday,1,2024,Qtr 4,noviembre,13,November,11,46
2024,20,Wednesday,1,2024,Qtr 4,noviembre,20,November,11,47
2024,27,Wednesday,1,2024,Qtr 4,noviembre,27,November,11,48
2024,4,Wednesday,1,2024,Qtr 4,diciembre,4,December,12,49
2024,11,Wednesday,1,2024,Qtr 4,diciembre,11,December,12,50
2024,18,Wednesday,1,2024,Qtr 4,diciembre,18,December,12,51
2024,25,Wednesday,1,2024,Qtr 4,diciembre,25,December,12,52
